|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, aero|}, Precision, 73.8|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, dog|}, Precision, 83.3|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, horse|}, Precision, 78.5|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, sheep|}, Precision, 82.6|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, tv|}, Precision, 80.2|
|{|method, SPT|, |task, image segmentation|, |supervision, no|}, Precision, 80.5|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, aero|}, Jaccard, 32.7|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, boat|}, Jaccard, 31.9|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, car|}, Jaccard, 48.6|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, cat|}, Jaccard, 33.0|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, cow|}, Jaccard, 45.5|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, dog|}, Jaccard, 38.4|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, horse|}, Jaccard, 22.2|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, sheep|}, Jaccard, 43.7|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, tv|}, Jaccard, 48.9|
|{|method, baseline|, |task, image segmentation|, |supervision, no|}, Jaccard, 38.3|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, aero|}, Jaccard, 59.5|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, boat|}, Jaccard, 48.6|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, car|}, Jaccard, 66.9|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, cat|}, Jaccard, 61.9|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, cow|}, Jaccard, 61.8|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, dog|}, Jaccard, 61.3|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, horse|}, Jaccard, 49.1|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, sheep|}, Jaccard, 55.9|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, tv|}, Jaccard, 61.0|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|}, Jaccard, 58.5|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, aero|}, Jaccard, 43.5|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, boat|}, Jaccard, 44.7|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, car|}, Jaccard, 71.5|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, cat|}, Jaccard, 50.1|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, cow|}, Jaccard, 58.7|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, dog|}, Jaccard, 58.8|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, horse|}, Jaccard, 46.4|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, sheep|}, Jaccard, 55.9|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, tv|}, Jaccard, 59.9|
|{|method, SPT|, |task, image segmentation|, |supervision, no|}, Jaccard, 54.4|
