|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, aero|}, Precision, 73.8|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, aero|}, Precision, 75.4|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, boat|}, Precision, 78.5|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, car|}, Precision, 84.2|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, cat|}, Precision, 78.3|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, cow|}, Precision, 83.8|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, dog|}, Precision, 83.3|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, horse|}, Precision, 78.5|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, sheep|}, Precision, 82.6|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, tv|}, Precision, 80.2|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, mean|}, Precision, 80.5|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, aero|}, Jaccard, 32.7|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, boat|}, Jaccard, 31.9|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, car|}, Jaccard, 48.6|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, cat|}, Jaccard, 33|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, cow|}, Jaccard, 45.5|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, dog|}, Jaccard, 38.4|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, horse|}, Jaccard, 22.2|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, sheep|}, Jaccard, 43.7|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, tv|}, Jaccard, 48.9|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, mean|}, Jaccard, 38.3|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, aero|}, Jaccard, 59.5|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, boat|}, Jaccard, 48.6|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, car|}, Jaccard, 66.9|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, cat|}, Jaccard, 61.9|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, cow|}, Jaccard, 61.8|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, dog|}, Jaccard, 61.3|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, horse|}, Jaccard, 49.1|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, sheep|}, Jaccard, 55.9|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, tv|}, Jaccard, 61|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, mean|}, Jaccard, 58.5|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, aero|}, Jaccard, 43.5|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, boat|}, Jaccard, 44.7|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, car|}, Jaccard, 71.5|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, cat|}, Jaccard, 50.1|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, cow|}, Jaccard, 58.7|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, dog|}, Jaccard, 58.8|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, horse|}, Jaccard, 46.4|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, sheep|}, Jaccard, 55.9|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, tv|}, Jaccard, 59.9|
|{|Task, Segmentation|, |Method, SPT (ours)|, |Supervision, no|, |Category, mean|}, Jaccard, 54.4|
